publish_time,From,name,task_id,author,url,title,cate_name,depth,comments,page,content,attitude,catch_date,site_source,spider_type,site_url,comments_text,site_type
1145289600,2,慧聪论坛,,作者：ltj781122,http://bbs.hc360.com/thread-326465-1-1.html,谈当前石油行业诸多怪现状,bbssearch,,9,,"本帖最后由mombassa于2013-1-1220:40编辑一、石油行业准入门槛高低的争论四月十二日商务部召集石油行业民企搞了一个所谓行业准入的条款讨论会,讨论的那些",9,1473912732,,,http://zhannei.baidu.com/cse/search?q=%E7%9F%B3%E6%B2%B9&p=1&click=1&s=1366092766520538444&nsid=,,
1144166400,2,慧聪论坛,,作者：xianger888,http://bbs.hc360.com/thread-322674-1-1.html,石油燃料油180,bbssearch,,3,,本帖最后由mombassa于2013-1-1300:32编辑进口180#、380#长期销售，货在舟山，每月有货10万吨左右，比重在0.97左右抚顺石脑月有4...,3,1473912732,,,http://zhannei.baidu.com/cse/search?q=%E7%9F%B3%E6%B2%B9&p=1&click=1&s=1366092766520538444&nsid=,,
1356278400,2,慧聪论坛,,作者：xindaoyi90,http://bbs.hc360.com/thread-3558292-1-1.html,美国国内石油需求降至日均1850万桶,bbssearch,,4,,美国石油协会21日发布的数据显示，今年11月份衡量美国国内石油(原油与成品油)需求的石油交货量比上一年同期下降3.3%，降至日均1850万桶。其中，当月衡量消费者汽油需求的汽油交货量同比下降0.3,4,1473912732,,,http://zhannei.baidu.com/cse/search?q=%E7%9F%B3%E6%B2%B9&p=1&click=1&s=1366092766520538444&nsid=,,
1344528000,2,慧聪论坛,,作者：cnpcaa,http://bbs.hc360.com/thread-3129883-1-1.html,中国石油汽车养护用品,bbssearch,,4,,中国石油优力能系列汽车养护产品，秉承中国石油：奉献清洁、优质、可靠能源的一贯宗旨，依托中国石油雄厚的实力和强大的品牌影响力，汲取世界先进的技术，使用优质的原料，研发、制造并向市场推出优质的汽车深度,4,1473912732,,,http://zhannei.baidu.com/cse/search?q=%E7%9F%B3%E6%B2%B9&p=1&click=1&s=1366092766520538444&nsid=,,
1326384000,2,慧聪论坛,,作者：hcyz,http://bbs.hc360.com/thread-2568879-1-1.html,加拿大增加对华石油输出,bbssearch,,4,,有望于今年2月份访问中国，而在其出访议程中，加深与中国的能源合作并向中国出售更多油砂**则是重要议题之一。　　中国石油公司进入加拿大的步伐有望提速。　　长期以来，加拿大与美国有着密切的能源供应协议,4,1473912732,,,http://zhannei.baidu.com/cse/search?q=%E7%9F%B3%E6%B2%B9&p=1&click=1&s=1366092766520538444&nsid=,,
1208880000,2,慧聪论坛,,作者：oiljob1001,http://bbs.hc360.com/thread-326640-1-1.html,石油招聘,bbssearch,,1,,本帖最后由mombassa于2013-1-1223:03编辑招聘信息：http://oil.job1001.com/1/石油英才网（http://oil.job1001.com,1,1473912732,,,http://zhannei.baidu.com/cse/search?q=%E7%9F%B3%E6%B2%B9&p=1&click=1&s=1366092766520538444&nsid=,,
1340121600,2,慧聪论坛,,作者：liu1965148760,http://bbs.hc360.com/thread-2745358-1-1.html,石油科技、化工工程类论文征文,bbssearch,,2,,本帖最后由mombassa于2013-1-1300:24编辑为了促进石油、化工企业的科研创新，以及为晋升化工职称的方便，借此机会向企业科研人员征稿。一、征稿杂志《中国科技博览,2,1473912732,,,http://zhannei.baidu.com/cse/search?q=%E7%9F%B3%E6%B2%B9&p=1&click=1&s=1366092766520538444&nsid=,,
1380038400,2,慧聪论坛,,作者：lygyongjin888,http://bbs.hc360.com/thread-4025931-1-1.html,滤油机主要合用于矿山、冶金、石油、铁路,bbssearch,,8,,滤油机主要合用于矿山、冶金、石油、铁路、机械、化工、纺织、水泥、电厂、仪表等各部分。对污染劣化的各种产业用润滑油的净化再生起到很大作用，延长设备的检验周期和使用寿命，降低出产本钱。能有效脱除油品中,8,1473912732,,,http://zhannei.baidu.com/cse/search?q=%E7%9F%B3%E6%B2%B9&p=1&click=1&s=1366092766520538444&nsid=,,
1325174400,2,慧聪论坛,,作者：cnpcaa,http://bbs.hc360.com/thread-2417470-1-1.html,中国石油汽车养护用品引领民族品牌,bbssearch,,3,,场。面对洋品牌的巨大冲击，国内汽车养护产品生产企业不约而同地选择了突围，努力创建民族自己的品牌。去年，当中国石油“天骅”系列汽车养护产品在全国推出的消息传来以后，不少国人都为之振奋不已。大家都知道,3,1473912732,,,http://zhannei.baidu.com/cse/search?q=%E7%9F%B3%E6%B2%B9&p=1&click=1&s=1366092766520538444&nsid=,,
1346860800,2,慧聪论坛,,作者：meihuo365,http://bbs.hc360.com/thread-3423890-1-1.html,净水行业，“下一个石油产业”,bbssearch,,3,,大部分的企业纷纷“涉水”；水处理行业已经成为21世纪最有前途的朝阳产业。　　　水资源对于维持生命与维系生态，已呈现出其不可替代的战略意义。有学者指出，水资源将是继20世纪70年代发生石油危机之后最有可能发生,3,1473912732,,,http://zhannei.baidu.com/cse/search?q=%E7%9F%B3%E6%B2%B9&p=1&click=1&s=1366092766520538444&nsid=,,
